default,00:00:00.000,0.0,00:00:03.416,3.416,00:00:03.416,3.416,2,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:03.416,3.416,00:00:05.740,5.74,00:00:02.324,2.324,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:05.740,5.74,00:00:15.520,15.52,00:00:09.780,9.78,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:15.600,15.6,00:00:16.670,16.67,00:00:01.070,1.07,3,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:16.690,16.69,00:00:18.840,18.84,00:00:02.150,2.15,2,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:18.840,18.84,00:00:21.190,21.19,00:00:02.350,2.35,4,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:21.210,21.21,00:00:22.580,22.58,00:00:01.370,1.37,3,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:22.600,22.6,00:00:41.280,41.28,00:00:18.680,18.68,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:41.340,41.34,00:00:42.080,42.08,00:00:00.740,0.74,2,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:42.130,42.13,00:00:45.690,45.69,00:00:03.560,3.56,3,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:45.690,45.69,00:00:47.390,47.39,00:00:01.700,1.7,4,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:47.400,47.4,00:00:53.860,53.86,00:00:06.460,6.46,2,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:00:53.970,53.97,00:01:10.280,70.28,00:00:16.310,16.31,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:10.290,70.29,00:01:12.880,72.88,00:00:02.590,2.59,3,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:12.920,72.92,00:01:16.690,76.69,00:00:03.770,3.77,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:16.720,76.72,00:01:24.230,84.23,00:00:07.510,7.51,4,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:24.240,84.24,00:01:29.430,89.43,00:00:05.190,5.19,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:29.440,89.44,00:01:31.810,91.81,00:00:02.370,2.37,4,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:31.870,91.87,00:01:35.160,95.16,00:00:03.290,3.29,1,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
default,00:01:35.190,95.19,00:01:37.010,97.01,00:00:01.820,1.82,3,C:\Users\lch206\Documents\mytask\51014_sessie1_taskrobotEngagement.eaf
